idx,n_gt,n_pred,count_error,iou_sem,dice_sem,mAP,tp_50,fp_50,fn_50,ap_50,tp_55,fp_55,fn_55,ap_55,tp_60,fp_60,fn_60,ap_60,tp_65,fp_65,fn_65,ap_65,tp_70,fp_70,fn_70,ap_70,tp_75,fp_75,fn_75,ap_75,tp_80,fp_80,fn_80,ap_80,tp_85,fp_85,fn_85,ap_85,tp_90,fp_90,fn_90,ap_90,tp_95,fp_95,fn_95,ap_95
78,18,2,16,0.85947,0.924425,0.01,1,1,17,0.1,0,2,18,0.0,0,2,18,0.0,0,2,18,0.0,0,2,18,0.0,0,2,18,0.0,0,2,18,0.0,0,2,18,0.0,0,2,18,0.0,0,2,18,0.0
79,9,1,8,0.883999,0.938428,0.0,0,1,9,0.0,0,1,9,0.0,0,1,9,0.0,0,1,9,0.0,0,1,9,0.0,0,1,9,0.0,0,1,9,0.0,0,1,9,0.0,0,1,9,0.0,0,1,9,0.0
80,10,3,7,0.858572,0.923905,0.138462,1,2,9,0.153846,1,2,9,0.153846,1,2,9,0.153846,1,2,9,0.153846,1,2,9,0.153846,1,2,9,0.153846,1,2,9,0.153846,1,2,9,0.153846,1,2,9,0.153846,0,3,10,0.0
81,17,2,15,0.880542,0.936477,0.105263,1,1,16,0.105263,1,1,16,0.105263,1,1,16,0.105263,1,1,16,0.105263,1,1,16,0.105263,1,1,16,0.105263,1,1,16,0.105263,1,1,16,0.105263,1,1,16,0.105263,1,1,16,0.105263
82,9,6,3,0.794264,0.885337,0.64,6,0,3,0.8,6,0,3,0.8,6,0,3,0.8,6,0,3,0.8,5,1,4,0.666667,4,2,5,0.533333,4,2,5,0.533333,4,2,5,0.533333,4,2,5,0.533333,3,3,6,0.4
83,11,5,6,0.80193,0.890079,0.4375,4,1,7,0.5,4,1,7,0.5,4,1,7,0.5,4,1,7,0.5,4,1,7,0.5,3,2,8,0.375,3,2,8,0.375,3,2,8,0.375,3,2,8,0.375,3,2,8,0.375
84,17,4,13,0.839106,0.912515,0.190476,2,2,15,0.190476,2,2,15,0.190476,2,2,15,0.190476,2,2,15,0.190476,2,2,15,0.190476,2,2,15,0.190476,2,2,15,0.190476,2,2,15,0.190476,2,2,15,0.190476,2,2,15,0.190476
85,17,1,16,0.884885,0.938927,0.0,0,1,17,0.0,0,1,17,0.0,0,1,17,0.0,0,1,17,0.0,0,1,17,0.0,0,1,17,0.0,0,1,17,0.0,0,1,17,0.0,0,1,17,0.0,0,1,17,0.0
86,6,3,3,0.84,0.913043,0.288889,2,1,4,0.444444,2,1,4,0.444444,2,1,4,0.444444,1,2,5,0.222222,1,2,5,0.222222,1,2,5,0.222222,1,2,5,0.222222,1,2,5,0.222222,1,2,5,0.222222,1,2,5,0.222222
87,16,3,13,0.853142,0.920752,0.105263,1,2,15,0.105263,1,2,15,0.105263,1,2,15,0.105263,1,2,15,0.105263,1,2,15,0.105263,1,2,15,0.105263,1,2,15,0.105263,1,2,15,0.105263,1,2,15,0.105263,1,2,15,0.105263
88,9,6,3,0.799252,0.888427,0.64,6,0,3,0.8,6,0,3,0.8,5,1,4,0.666667,5,1,4,0.666667,5,1,4,0.666667,5,1,4,0.666667,4,2,5,0.533333,4,2,5,0.533333,4,2,5,0.533333,4,2,5,0.533333
